%time,field.header.seq,field.header.stamp,field.header.frame_id,field.speed,field.pwm,field.pid_data.input,field.pid_data.output,field.pid_data.setpoint
1711881622037116504,32103,1711881622037628416,,1.4478977918624878,-9.0,425.4278564453125,-9.535507202148438,476.7720642089844
1711881622137063506,32104,1711881622137664987,,1.39797043800354,6.0,410.7579650878906,6.601409912109375,476.7720642089844
1711881622237141668,32105,1711881622237664987,,1.4478977918624878,5.0,425.4278564453125,5.134420871734619,476.7720642089844
1711881622337055937,32106,1711881622337664987,,1.4478977918624878,5.0,425.4278564453125,5.134420871734619,476.7720642089844
1711881622437122353,32107,1711881622437664987,,1.4478977918624878,5.0,425.4278564453125,5.134420871734619,476.7720642089844
1711881622537018425,32108,1711881622537664987,,1.4978253841400146,3.0,440.0978088378906,3.6674256324768066,476.7720642089844
1711881622637194513,32109,1711881622637664987,,1.4978253841400146,3.0,440.0978088378906,3.6674256324768066,476.7720642089844
1711881622737177074,32110,1711881622737664987,,1.4478977918624878,5.0,425.4278564453125,5.134420871734619,476.7720642089844
1711881622837155587,32111,1711881622837664987,,1.4478977918624878,5.0,425.4278564453125,5.134420871734619,476.7720642089844
1711881622937073396,32112,1711881622937664987,,1.4978253841400146,3.0,440.0978088378906,3.6674256324768066,476.7720642089844
1711881623037171414,32113,1711881623037664987,,1.4978253841400146,3.0,440.0978088378906,3.6674256324768066,476.7720642089844
1711881623137229825,32114,1711881623137664987,,1.4978253841400146,3.0,440.0978088378906,3.6674256324768066,476.7720642089844
1711881623237163920,32115,1711881623237664987,,1.4978253841400146,3.0,440.0978088378906,3.6674256324768066,476.7720642089844
1711881623337195578,32116,1711881623337664987,,1.4978253841400146,3.0,440.0978088378906,3.6674256324768066,476.7720642089844
1711881623437141551,32117,1711881623437664987,,1.4478977918624878,5.0,425.4278564453125,5.134420871734619,476.7720642089844
1711881623535091216,32118,1711881623537664987,,1.4978253841400146,3.0,440.0978088378906,3.6674256324768066,476.7720642089844
1711881623637071788,32119,1711881623637664987,,1.4478977918624878,5.0,425.4278564453125,5.134420871734619,476.7720642089844
1711881623737055212,32120,1711881623737664987,,1.4478977918624878,5.0,425.4278564453125,5.134420871734619,476.7720642089844
1711881623837030560,32121,1711881623837664987,,1.4978253841400146,3.0,440.0978088378906,3.6674256324768066,476.7720642089844
1711881623937070180,32122,1711881623937664987,,1.4978253841400146,3.0,440.0978088378906,3.6674256324768066,476.7720642089844
1711881624037195247,32123,1711881624037664987,,1.4978253841400146,3.0,440.0978088378906,3.6674256324768066,476.7720642089844
1711881624137112609,32124,1711881624137664987,,1.0984052419662476,-32.0,322.7383728027344,-32.27383804321289,0.0
1711881624237217517,32125,1711881624237664987,,0.7489126920700073,-22.0,220.0489044189453,-22.00489044189453,0.0
1711881624337176344,32126,1711881624337664987,,0.4493476152420044,-13.0,132.0293426513672,-13.202934265136719,0.0
1711881624437213527,32127,1711881624437664987,,0.29956507682800293,-8.0,88.01956176757812,-8.801956176757812,0.0
1711881624537204033,32128,1711881624537664987,,0.0,0.0,0.0,0.0,0.0
