%time,field.header.seq,field.header.stamp,field.header.frame_id,field.speed,field.pwm,field.pid_data.input,field.pid_data.output,field.pid_data.setpoint
1711879275032925189,8633,1711879275033692029,,0.0,0.0,0.0,0.0,0.0
1711879275132807192,8634,1711879275133692029,,0.0,0.0,0.0,0.0,0.0
1711879275232839029,8635,1711879275233087898,,0.0,0.0,0.0,0.0,0.0
1711879275332754192,8636,1711879275333087898,,0.0,0.0,0.0,0.0,0.0
1711879275432892675,8637,1711879275433087898,,0.0,0.0,0.0,0.0,0.0
1711879275532886152,8638,1711879275533087898,,0.0,0.0,0.0,0.0,0.0
1711879275632973011,8639,1711879275633087898,,0.0,0.0,0.0,0.0,0.0
1711879275732947131,8640,1711879275733087898,,0.0,0.0,0.0,0.0,0.0
1711879275832953958,8641,1711879275833087898,,0.0,0.0,0.0,0.0,0.0
1711879275932876013,8642,1711879275933087898,,0.0,0.0,0.0,0.0,0.0
1711879276032899169,8643,1711879276033087898,,0.0,0.0,0.0,0.0,0.0
1711879276132927744,8644,1711879276133087898,,0.0,0.0,0.0,0.0,0.0
1711879276232941854,8645,1711879276233087898,,0.0,0.0,0.0,0.0,0.0
1711879276332997517,8646,1711879276333087898,,0.0,0.0,0.0,0.0,0.0
1711879276432993646,8647,1711879276433087898,,0.0,0.0,0.0,0.0,0.0
1711879276532877811,8648,1711879276533087898,,0.0,0.0,0.0,0.0,0.0
1711879276632988314,8649,1711879276633087898,,0.0,0.0,0.0,0.0,0.0
1711879276732915946,8650,1711879276733087898,,0.0,0.0,0.0,0.0,0.0
1711879276832931492,8651,1711879276833087898,,0.0,0.0,0.0,0.0,0.0
1711879276932937134,8652,1711879276933087898,,0.0,0.0,0.0,0.0,0.0
1711879277032951194,8653,1711879277033087898,,0.0,0.0,0.0,0.0,0.0
1711879277132921567,8654,1711879277133087898,,0.0,0.0,0.0,0.0,0.0
1711879277232942180,8655,1711879277233087898,,1.39797043800354,-4.0,410.7579650878906,-4.337606906890869,367.38189697265625
1711879277332870679,8656,1711879277333087898,,0.8986952304840088,10.0,264.0586853027344,10.332321166992188,367.38189697265625
1711879277432934588,8657,1711879277433087898,,1.2981152534484863,-1.0,381.4180908203125,-1.403619408607483,367.38189697265625
1711879277532942015,8658,1711879277533087898,,0.8487676978111267,11.0,249.3887481689453,11.799315452575684,367.38189697265625
1711879277632918233,8659,1711879277633087898,,0.24963755905628204,29.0,73.3496322631836,29.403226852416992,367.38189697265625
1711879277732796590,8660,1711879277733582710,,0.8986952304840088,10.0,264.0586853027344,10.332321166992188,367.38189697265625
1711879277832931311,8661,1711879277833582710,,1.2981152534484863,-1.0,381.4180908203125,-1.403619408607483,367.38189697265625
1711879277932957050,8662,1711879277933582710,,0.8487676978111267,11.0,249.3887481689453,11.799315452575684,367.38189697265625
1711879278032955121,8663,1711879278033582710,,0.19971005618572235,30.0,58.679710388183594,30.87021827697754,367.38189697265625
1711879278132906829,8664,1711879278133582710,,0.8986952304840088,10.0,264.0586853027344,10.332321166992188,367.38189697265625
1711879278232909995,8665,1711879278233582710,,0.09985502809286118,33.0,29.339855194091797,33.80420684814453,367.38189697265625
1711879278332960495,8666,1711879278333582710,,0.14978253841400146,32.0,44.00978088378906,32.337215423583984,367.38189697265625
1711879278432844399,8667,1711879278433582710,,0.14978253841400146,32.0,44.00978088378906,32.337215423583984,367.38189697265625
1711879278532919474,8668,1711879278533582710,,0.19971005618572235,30.0,58.679710388183594,30.87021827697754,367.38189697265625
1711879278632966081,8669,1711879278633582710,,0.14978253841400146,32.0,44.00978088378906,32.337215423583984,367.38189697265625
1711879278732926545,8670,1711879278733582710,,0.19971005618572235,30.0,58.679710388183594,30.87021827697754,367.38189697265625
1711879278832927983,8671,1711879278833582710,,1.2981152534484863,-1.0,381.4180908203125,-1.403619408607483,367.38189697265625
1711879278932851173,8672,1711879278933582710,,1.39797043800354,-4.0,410.7579650878906,-4.337606906890869,367.38189697265625
1711879279032974836,8673,1711879279033582710,,0.69898521900177,16.0,205.3789825439453,16.200292587280273,367.38189697265625
1711879279132845021,8674,1711879279133582710,,0.7489126920700073,14.0,220.0489044189453,14.733299255371094,367.38189697265625
1711879279232919372,8675,1711879279233582710,,0.6490576267242432,41.0,190.70904541015625,41.13916778564453,367.38189697265625
1711879279333058508,8676,1711879279333582710,,1.2981152534484863,-38.0,381.4180908203125,-38.14181137084961,0.0
1711879279432987138,8677,1711879279433582710,,0.9486227035522461,-27.0,278.7286071777344,-27.872861862182617,0.0
1711879279533033662,8678,1711879279533582710,,0.6490576267242432,-19.0,190.70904541015625,-19.070905685424805,0.0
1711879279633088651,8679,1711879279633582710,,0.4493476152420044,-13.0,132.0293426513672,-13.202934265136719,0.0
