%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pid_data.setpoint,field.pid_data.input
1.71164166845427E+018,2288,1.71164166845534E+018,0,0,0
1.71164166856395E+018,2289,1.71164166856334E+018,0.10967936,0,0
1.71164166866392E+018,2290,1.71164166866334E+018,0.209647872,0,0
1.7116416687639E+018,2291,1.71164166876334E+018,0.30963072,0,0
1.71164166886415E+018,2292,1.71164166886434E+018,0.409883136,0,0
1.71164166896419E+018,2293,1.71164166896434E+018,0.509922304,0,0
1.7116416690642E+018,2294,1.71164166906434E+018,0.609936896,0,0
1.71164166916443E+018,2295,1.71164166916434E+018,0.710167296,0,0
1.71164166925431E+018,2296,1.71164166925534E+018,0.800043264,0,0
1.71164166936439E+018,2297,1.71164166936434E+018,0.910121472,0,0
1.71164166945449E+018,2298,1.71164166945534E+018,1.000224512,0,0
1.71164166955412E+018,2299,1.71164166955534E+018,1.099852032,0,0
1.71164166966471E+018,2300,1.71164166966564E+018,1.21044736,0,0
1.71164166975435E+018,2301,1.71164166975664E+018,1.3000832,0,0
1.71164166986487E+018,2302,1.71164166986564E+018,1.410598912,0,0
1.71164166995416E+018,2303,1.71164166995664E+018,1.499896064,0,0
1.71164167006488E+018,2304,1.71164167006564E+018,1.610611968,0,0
1.71164167015447E+018,2305,1.71164167015664E+018,1.700199424,0,0
1.71164167026517E+018,2306,1.71164167026664E+018,1.810904832,0,0
1.71164167035468E+018,2307,1.71164167035664E+018,1.900416256,0,0
1.71164167046534E+018,2308,1.71164167046664E+018,2.011075072,0,0
1.71164167056538E+018,2309,1.71164167056664E+018,2.11111424,0,0
1.71164167066541E+018,2310,1.71164167066664E+018,2.211138816,0,0
1.71164167076537E+018,2311,1.71164167076664E+018,2.311105792,0,0
1.71164167086564E+018,2312,1.71164167086664E+018,2.411376128,0,0
1.71164167096568E+018,2313,1.71164167096764E+018,2.511410688,146.912261962891,0
1.71164167106586E+018,2314,1.71164167106664E+018,2.611595008,146.912261962891,146.699264526367
1.71164167116585E+018,2315,1.71164167116664E+018,2.711584,146.912261962891,95.3545227050781
1.71164167126586E+018,2316,1.71164167126664E+018,2.811597568,146.912261962891,102.689491271973
1.71164167136593E+018,2317,1.71164167136664E+018,2.9116672,146.912261962891,88.0195617675781
1.71164167146611E+018,2318,1.71164167146764E+018,3.011839232,146.912261962891,97.7995147705078
1.7116416715662E+018,2319,1.71164167156764E+018,3.111932672,146.912261962891,97.7995147705078
1.7116416716661E+018,2320,1.71164167166764E+018,3.211832576,146.912261962891,97.7995147705078
1.71164167176641E+018,2321,1.71164167176764E+018,3.312139264,146.912261962891,97.7995147705078
1.71164167186646E+018,2322,1.71164167186764E+018,3.412195072,146.912261962891,97.7995147705078
1.71164167196641E+018,2323,1.71164167196764E+018,3.51214336,146.912261962891,97.7995147705078
1.71164167206764E+018,2324,1.71164167206764E+018,3.613368576,146.912261962891,97.7995147705078
1.71164167216661E+018,2325,1.7116416721664E+018,3.712346368,146.912261962891,97.7995147705078
1.71164167226657E+018,2326,1.7116416722664E+018,3.812306432,146.912261962891,97.7995147705078
1.71164167236686E+018,2327,1.7116416723664E+018,3.91259392,146.912261962891,97.7995147705078
1.71164167246685E+018,2328,1.7116416724664E+018,4.012579328,146.912261962891,104.785186767578
1.71164167256684E+018,2329,1.7116416725664E+018,4.112571136,146.912261962891,111.770874023438
1.71164167266709E+018,2330,1.7116416726674E+018,4.212823552,146.912261962891,106.690383911133
1.71164167275436E+018,2331,1.7116416727554E+018,4.300091136,146.912261962891,117.359420776367
1.71164167286706E+018,2332,1.7116416728674E+018,4.4127936,146.912261962891,106.690383911133
1.7116416729671E+018,2333,1.7116416729674E+018,4.512835584,146.912261962891,93.3540802001953
1.71164167305453E+018,2334,1.7116416730554E+018,4.600258304,146.912261962891,117.359420776367
1.71164167316739E+018,2335,1.7116416731674E+018,4.713118976,146.912261962891,100.02222442627
1.7116416732673E+018,2336,1.7116416732674E+018,4.813030144,146.912261962891,100.02222442627
1.71164167336759E+018,2337,1.7116416733674E+018,4.913320448,146.912261962891,93.3540802001953
1.71164167346753E+018,2338,1.7116416734674E+018,5.01326592,146.912261962891,106.690383911133
1.71164167356768E+018,2339,1.7116416735684E+018,5.113414912,0,95.6734313964844
1.71164167365415E+018,2340,1.7116416736554E+018,5.199881472,0,0
1.71164167375419E+018,2341,1.7116416737554E+018,5.299919872,0,0
1.71164167385451E+018,2342,1.7116416738554E+018,5.400240384,0,0
1.71164167396803E+018,2343,1.7116416739684E+018,5.513761024,0,0
1.71164167406807E+018,2344,1.7116416740684E+018,5.613801216,0,0
1.71164167415422E+018,2345,1.7116416741554E+018,5.699957248,0,0
1.71164167426826E+018,2346,1.7116416742684E+018,5.8139904,0,0
1.71164167435415E+018,2347,1.7116416743554E+018,5.899883264,0,0
1.71164167446831E+018,2348,1.7116416744684E+018,6.01404416,0,0
1.71164167455456E+018,2349,1.7116416745554E+018,6.100292352,0,0
1.71164167466868E+018,2350,1.71164167467054E+018,6.214413824,0,0
1.71164167476862E+018,2351,1.71164167477054E+018,6.314353408,0,0
1.71164167486856E+018,2352,1.71164167487054E+018,6.4142976,0,0
1.71164167496878E+018,2353,1.71164167497054E+018,6.514510336,0,0
1.71164167506884E+018,2354,1.71164167507154E+018,6.614576128,146.912261962891,0
1.7116416751688E+018,2355,1.71164167517054E+018,6.714530048,146.912261962891,114.808120727539
1.71164167526903E+018,2356,1.71164167527154E+018,6.814765568,146.912261962891,97.7995147705078
