%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pid_data.setpoint,field.pid_data.input
1.71164166845561E+018,2288,1.71164166845534E+018,0,0,0
1.7116416685672E+018,2289,1.71164166856334E+018,0.111590912,0,0
1.71164166866727E+018,2290,1.71164166866434E+018,0.211652864,0,0
1.71164166876719E+018,2291,1.71164166876434E+018,0.311575552,0,0
1.71164166886756E+018,2292,1.71164166886434E+018,0.41195008,0,0
1.71164166896743E+018,2293,1.71164166896434E+018,0.511813632,0,0
1.71164166906747E+018,2294,1.71164166906434E+018,0.611859968,0,0
1.71164166916767E+018,2295,1.71164166916434E+018,0.712059136,0,0
1.71164166925612E+018,2296,1.71164166925534E+018,0.800506112,0,0
1.71164166936763E+018,2297,1.71164166936434E+018,0.912015616,0,0
1.71164166945634E+018,2298,1.71164166945534E+018,1.000729856,0,0
1.71164166955536E+018,2299,1.71164166955534E+018,1.099743488,0,0
1.71164166966811E+018,2300,1.71164166966564E+018,1.2124992,0,0
1.71164166975662E+018,2301,1.71164166975664E+018,1.301012224,0,0
1.71164166986813E+018,2302,1.71164166986564E+018,1.412516352,0,0
1.71164166995688E+018,2303,1.71164166995664E+018,1.501266432,0,0
1.71164167006825E+018,2304,1.71164167006564E+018,1.612637184,0,0
1.71164167015686E+018,2305,1.71164167015664E+018,1.701249024,0,0
1.71164167026852E+018,2306,1.71164167026664E+018,1.81290368,0,0
1.71164167035728E+018,2307,1.71164167035664E+018,1.90166784,0,0
1.7116416704687E+018,2308,1.71164167046664E+018,2.013089024,0,0
1.71164167056871E+018,2309,1.71164167056664E+018,2.11309824,0,0
1.71164167066873E+018,2310,1.71164167066664E+018,2.213113344,0,0
1.71164167076872E+018,2311,1.71164167076664E+018,2.313103872,0,0
1.71164167086894E+018,2312,1.71164167086664E+018,2.413324288,0,0
1.71164167096887E+018,2313,1.71164167096764E+018,2.513259776,146.912261962891,0
1.71164167106914E+018,2314,1.71164167106764E+018,2.613522432,146.912261962891,102.689491271973
1.71164167116918E+018,2315,1.71164167116664E+018,2.713566208,146.912261962891,36.6748161315918
1.7116416712692E+018,2316,1.71164167126664E+018,2.81358976,146.912261962891,44.0097808837891
1.71164167136913E+018,2317,1.71164167136664E+018,2.913513216,146.912261962891,36.6748161315918
1.71164167146942E+018,2318,1.71164167146764E+018,3.013806336,146.912261962891,27.9427185058594
1.71164167156948E+018,2319,1.71164167156764E+018,3.11386368,146.912261962891,41.9140777587891
1.71164167166942E+018,2320,1.71164167166764E+018,3.213803008,146.912261962891,41.9140777587891
1.7116416717696E+018,2321,1.71164167176764E+018,3.31398784,146.912261962891,41.9140777587891
1.71164167186958E+018,2322,1.71164167186764E+018,3.413964544,146.912261962891,48.8997573852539
1.71164167196968E+018,2323,1.71164167196764E+018,3.51406976,146.912261962891,34.9283981323242
1.71164167207023E+018,2324,1.71164167207064E+018,3.614615296,146.912261962891,41.9140777587891
1.71164167216984E+018,2325,1.7116416721664E+018,3.714222592,146.912261962891,34.9283981323242
1.7116416722698E+018,2326,1.7116416722664E+018,3.814190336,146.912261962891,48.8997573852539
1.71164167237014E+018,2327,1.7116416723664E+018,3.914529792,146.912261962891,41.9140777587891
1.71164167247009E+018,2328,1.7116416724664E+018,4.014477568,146.912261962891,55.8854370117188
1.71164167257012E+018,2329,1.7116416725664E+018,4.114507776,146.912261962891,55.8854370117188
1.71164167267034E+018,2330,1.7116416726674E+018,4.214732288,146.912261962891,40.0088920593262
1.71164167275731E+018,2331,1.7116416727554E+018,4.301701888,146.912261962891,58.6797103881836
1.71164167287038E+018,2332,1.7116416728674E+018,4.41476608,146.912261962891,48.8997573852539
1.71164167297044E+018,2333,1.7116416729674E+018,4.514829568,146.912261962891,33.3407402038574
1.71164167305744E+018,2334,1.7116416730554E+018,4.601825792,146.912261962891,58.6797103881836
1.71164167317075E+018,2335,1.7116416731674E+018,4.71513728,146.912261962891,40.0088920593262
1.71164167327066E+018,2336,1.7116416732674E+018,4.815045376,146.912261962891,46.6770401000977
1.71164167337084E+018,2337,1.7116416733674E+018,4.915229696,146.912261962891,33.3407402038574
1.71164167347079E+018,2338,1.7116416734674E+018,5.015177728,146.912261962891,46.6770401000977
1.71164167357085E+018,2339,1.7116416735684E+018,5.11523584,0,38.2693748474121
1.71164167365734E+018,2340,1.7116416736554E+018,5.201730048,0,176.039123535156
1.71164167375738E+018,2341,1.7116416737554E+018,5.30177152,0,88.0195617675781
1.71164167385756E+018,2342,1.7116416738554E+018,5.401944576,0,14.6699275970459
1.71164167397132E+018,2343,1.7116416739684E+018,5.515711232,0,0
1.71164167407139E+018,2344,1.7116416740684E+018,5.61578112,0,0
1.71164167415737E+018,2345,1.7116416741554E+018,5.70176128,0,0
1.71164167427161E+018,2346,1.7116416742684E+018,5.815994112,0,0
1.71164167435749E+018,2347,1.7116416743554E+018,5.90187392,0,0
1.71164167447164E+018,2348,1.7116416744684E+018,6.016022784,0,0
1.71164167455731E+018,2349,1.7116416745554E+018,6.101693696,0,0
1.71164167467192E+018,2350,1.71164167467054E+018,6.216306176,0,0
1.71164167477176E+018,2351,1.71164167477054E+018,6.316149504,0,0
1.71164167487178E+018,2352,1.71164167487054E+018,6.416166656,0,0
1.71164167497202E+018,2353,1.71164167497054E+018,6.516406528,0,0
1.71164167507206E+018,2354,1.71164167507154E+018,6.616447488,146.912261962891,0
1.71164167517203E+018,2355,1.71164167517054E+018,6.716420864,146.912261962891,159.455718994141
1.71164167527225E+018,2356,1.71164167527154E+018,6.816632576,146.912261962891,102.051666259766
