%time,field.header.seq,field.header.stamp,field.header.frame_id,field.speed,field.pwm,field.pid_data.input,field.pid_data.output,field.pid_data.setpoint
1711641668455612507,2288,1711641668455338914,,0.0,0.0,0.0,0.0,0.0
1711641668567203320,2289,1711641668563338914,,0.0,0.0,0.0,0.0,0.0
1711641668667265229,2290,1711641668664338914,,0.0,0.0,0.0,0.0,0.0
1711641668767187886,2291,1711641668764338914,,0.0,0.0,0.0,0.0,0.0
1711641668867562516,2292,1711641668864338914,,0.0,0.0,0.0,0.0,0.0
1711641668967426024,2293,1711641668964338914,,0.0,0.0,0.0,0.0,0.0
1711641669067472365,2294,1711641669064338914,,0.0,0.0,0.0,0.0,0.0
1711641669167671529,2295,1711641669164338914,,0.0,0.0,0.0,0.0,0.0
1711641669256118647,2296,1711641669255338914,,0.0,0.0,0.0,0.0,0.0
1711641669367627920,2297,1711641669364338914,,0.0,0.0,0.0,0.0,0.0
1711641669456342247,2298,1711641669455338914,,0.0,0.0,0.0,0.0,0.0
1711641669555356019,2299,1711641669555338914,,0.0,0.0,0.0,0.0,0.0
1711641669668111666,2300,1711641669665642532,,0.0,0.0,0.0,0.0,0.0
1711641669756624730,2301,1711641669756642532,,0.0,0.0,0.0,0.0,0.0
1711641669868128670,2302,1711641669865642532,,0.0,0.0,0.0,0.0,0.0
1711641669956878765,2303,1711641669956642532,,0.0,0.0,0.0,0.0,0.0
1711641670068249547,2304,1711641670065642532,,0.0,0.0,0.0,0.0,0.0
1711641670156861412,2305,1711641670156642532,,0.0,0.0,0.0,0.0,0.0
1711641670268516054,2306,1711641670266642532,,0.0,0.0,0.0,0.0,0.0
1711641670357280161,2307,1711641670356642532,,0.0,0.0,0.0,0.0,0.0
1711641670468701457,2308,1711641670466642532,,0.0,0.0,0.0,0.0,0.0
1711641670568710780,2309,1711641670566642532,,0.0,0.0,0.0,0.0,0.0
1711641670668725682,2310,1711641670666642532,,0.0,0.0,0.0,0.0,0.0
1711641670768716229,2311,1711641670766642532,,0.0,0.0,0.0,0.0,0.0
1711641670868936819,2312,1711641670866642532,,0.0,0.0,0.0,0.0,0.0
1711641670968872142,2313,1711641670967642532,,0.0,44.0,0.0,44.07368087768555,146.91226196289062
1711641671069134861,2314,1711641671067642532,,0.349492609500885,13.0,102.68949127197266,13.266831398010254,146.91226196289062
1711641671169178647,2315,1711641671166642532,,0.12481877952814102,33.0,36.6748161315918,33.07123565673828,146.91226196289062
1711641671269202173,2316,1711641671266642532,,0.14978253841400146,30.0,44.00978088378906,30.870744705200195,146.91226196289062
1711641671369125536,2317,1711641671366642532,,0.12481877952814102,33.0,36.6748161315918,33.07123565673828,146.91226196289062
1711641671469418646,2318,1711641671467642532,,0.0951000228524208,35.0,27.942718505859375,35.69086456298828,146.91226196289062
1711641671569476038,2319,1711641671567642532,,0.1426500380039215,31.0,41.91407775878906,31.49945640563965,146.91226196289062
1711641671669415511,2320,1711641671667642532,,0.1426500380039215,31.0,41.91407775878906,31.49945640563965,146.91226196289062
1711641671769600179,2321,1711641671767642532,,0.1426500380039215,31.0,41.91407775878906,31.49945640563965,146.91226196289062
1711641671869576857,2322,1711641671867642532,,0.16642504930496216,29.0,48.899757385253906,29.40375328063965,146.91226196289062
1711641671969682138,2323,1711641671967642532,,0.11887503415346146,33.0,34.92839813232422,33.59516143798828,146.91226196289062
1711641672070227613,2324,1711641672070642532,,0.1426500380039215,31.0,41.91407775878906,31.49945640563965,146.91226196289062
1711641672169835057,2325,1711641672166396236,,0.11887503415346146,33.0,34.92839813232422,33.59516143798828,146.91226196289062
1711641672269802825,2326,1711641672266396236,,0.16642504930496216,29.0,48.899757385253906,29.40375328063965,146.91226196289062
1711641672370142305,2327,1711641672366396236,,0.1426500380039215,31.0,41.91407775878906,31.49945640563965,146.91226196289062
1711641672470089884,2328,1711641672466396236,,0.1902000457048416,27.0,55.88543701171875,27.308048248291016,146.91226196289062
1711641672570120072,2329,1711641672566396236,,0.1902000457048416,27.0,55.88543701171875,27.308048248291016,146.91226196289062
1711641672670344740,2330,1711641672667396236,,0.13616594672203064,32.0,40.00889205932617,32.07101058959961,146.91226196289062
1711641672757314332,2331,1711641672755396236,,0.19971005618572235,35.0,58.679710388183594,35.27172088623047,146.91226196289062
1711641672870378437,2332,1711641672867396236,,0.16642504930496216,29.0,48.899757385253906,29.40375328063965,146.91226196289062
1711641672970441927,2333,1711641672967396236,,0.1134716123342514,34.0,33.34074020385742,34.07145690917969,146.91226196289062
1711641673057438307,2334,1711641673055396236,,0.19971005618572235,30.0,58.679710388183594,30.870744705200195,146.91226196289062
1711641673170749704,2335,1711641673167396236,,0.13616594672203064,32.0,40.00889205932617,32.07101058959961,146.91226196289062
1711641673270657725,2336,1711641673267396236,,0.15886026620864868,30.0,46.677040100097656,30.070568084716797,146.91226196289062
1711641673370842200,2337,1711641673367396236,,0.1134716123342514,34.0,33.34074020385742,34.07145690917969,146.91226196289062
1711641673470790192,2338,1711641673467396236,,0.15886026620864868,30.0,46.677040100097656,30.070568084716797,146.91226196289062
1711641673570848151,2339,1711641673568396236,,0.13024568557739258,-11.0,38.26937484741211,-11.480813026428223,0.0
1711641673657342346,2340,1711641673655396236,,0.5991301536560059,-52.0,176.03912353515625,-52.81174087524414,0.0
